CASE ID, RECV FLAG, CURRENT EDGE COUNT, TOTAL EDGE COUNT, TIME
00000000, ?, 0, 0, 1703480847.84
00000001, ?, 1810, 1810, 1703480849.84
00000002, ?, 0, 1810, 1703480851.91
00000003, ?, 3402, 3870, 1703480853.87
00000004, ?, 0, 3870, 1703480856.18
00000005, ?, 0, 3870, 1703480858.34
00000006, ?, 0, 3870, 1703480860.66
00000007, ?, 2779, 4166, 1703480863.34
00000008, ?, 0, 4166, 1703480865.6
00000009, ?, 1438, 4239, 1703480867.57
00000010, ?, 0, 4239, 1703480869.69
00000011, ?, 2638, 4299, 1703480871.59
00000012, ?, 0, 4299, 1703480873.65
00000013, ?, 0, 4299, 1703480875.59
00000014, ?, 0, 4299, 1703480877.51
00000015, ?, 2582, 4321, 1703480879.52
00000016, ?, 0, 4321, 1703480881.74
00000017, ?, 0, 4321, 1703480883.68
00000018, ?, 0, 4321, 1703480886.03
00000019, ?, 2686, 4337, 1703480888.03
00000020, ?, 0, 4337, 1703480890.39
00000021, ?, 0, 4337, 1703480892.36
00000022, ?, 0, 4337, 1703480894.3
00000023, ?, 2031, 4340, 1703480896.24
00000024, ?, 0, 4340, 1703480898.28
00000025, ?, 1815, 4353, 1703480900.66
00000026, ?, 0, 4353, 1703480902.76
00000027, ?, 0, 4353, 1703480904.73
00000028, ?, 0, 4353, 1703480907.07
00000029, ?, 0, 4353, 1703480908.95
00000030, ?, 0, 4353, 1703480910.88
00000031, ?, 0, 4353, 1703480912.78
00000032, ?, 2593, 4362, 1703480914.7
00000033, ?, 0, 4362, 1703480917.13
00000034, ?, 1945, 4373, 1703480919.04
00000035, ?, 0, 4373, 1703480921.33
00000036, ?, 0, 4373, 1703480923.28
00000037, ?, 0, 4373, 1703480925.22
00000038, ?, 0, 4373, 1703480927.15
00000039, ?, 2532, 4380, 1703480929.08
00000040, ?, 0, 4380, 1703480931.3
00000041, ?, 1780, 4384, 1703480933.26
00000042, ?, 0, 4384, 1703480935.32
