CASE ID, RECV FLAG, CURRENT EDGE COUNT, TOTAL EDGE COUNT, TIME
00000000, 0, 2643, 2643, 1703480868.1
00000001, 0, 0, 2643, 1703480869.88
00000002, 0, 0, 2643, 1703480871.58
00000003, 0, 0, 2643, 1703480873.26
00000004, 0, 0, 2643, 1703480874.91
00000005, 0, 2761, 3064, 1703480876.59
00000006, 0, 0, 3064, 1703480878.29
00000007, 0, 889, 3202, 1703480879.98
00000008, 0, 0, 3202, 1703480881.64
00000009, 0, 3070, 4374, 1703480883.31
00000010, 0, 0, 4374, 1703480884.99
00000011, 0, 0, 4374, 1703480886.59
00000012, 0, 0, 4374, 1703480888.22
00000013, 0, 0, 4374, 1703480889.85
00000014, 0, 2441, 4442, 1703480891.5
00000015, 0, 0, 4442, 1703480893.2
00000016, 0, 0, 4442, 1703480894.89
00000017, 0, 1798, 4489, 1703480896.51
00000018, 0, 0, 4489, 1703480898.18
00000019, 0, 2440, 4532, 1703480899.91
00000020, 0, 0, 4532, 1703480901.54
00000021, 0, 0, 4532, 1703480903.22
00000022, 0, 0, 4532, 1703480904.86
00000023, 0, 0, 4532, 1703480906.51
00000024, 0, 0, 4532, 1703480908.16
00000025, 0, 0, 4532, 1703480909.8
00000026, 0, 0, 4532, 1703480911.48
00000027, 0, 0, 4532, 1703480913.13
00000028, 0, 1874, 4552, 1703480914.81
00000029, 0, 0, 4552, 1703480916.49
00000030, 0, 0, 4552, 1703480918.17
00000031, 0, 0, 4552, 1703480919.86
00000032, 0, 0, 4552, 1703480921.5
00000033, 0, 0, 4552, 1703480923.17
00000034, 0, 0, 4552, 1703480924.82
00000035, 0, 0, 4552, 1703480926.52
00000036, 0, 1640, 4578, 1703480928.24
00000037, 0, 0, 4578, 1703480929.95
00000038, 0, 2418, 4611, 1703480931.64
00000039, 0, 0, 4611, 1703480933.27
00000040, 0, 0, 4611, 1703480934.97
00000041, 0, 0, 4611, 1703480936.68
