CASE ID, RECV FLAG, CURRENT EDGE COUNT, TOTAL EDGE COUNT, TIME
00000000, 0, 2946, 2946, 1703480902.02
00000001, 0, 916, 3010, 1703480902.88
00000002, 0, 963, 3018, 1703480903.76
00000003, 0, 939, 3026, 1703480904.64
00000004, 0, 875, 3026, 1703480905.59
00000005, 0, 902, 3028, 1703480906.38
00000006, 0, 899, 3032, 1703480907.17
00000007, 0, 953, 3034, 1703480907.98
00000008, 0, 977, 3048, 1703480908.96
00000009, 0, 909, 3052, 1703480909.85
00000010, 0, 947, 3057, 1703480910.84
00000011, 0, 893, 3059, 1703480911.75
00000012, 0, 877, 3060, 1703480912.71
00000013, 0, 896, 3061, 1703480913.47
00000014, 0, 936, 3125, 1703480914.35
00000015, 0, 914, 3129, 1703480915.32
00000016, 0, 902, 3132, 1703480916.27
00000017, 0, 311, 3133, 1703480917.08
00000018, 0, 307, 3134, 1703480917.77
00000019, 0, 306, 3135, 1703480918.61
00000020, 0, 880, 3136, 1703480919.61
00000021, 0, 923, 3137, 1703480920.38
00000022, 0, 474, 3137, 1703480921.31
00000023, 0, 303, 3138, 1703480922.2
00000024, 0, 307, 3140, 1703480923.2
00000025, 0, 307, 3141, 1703480924.1
00000026, 0, 311, 3142, 1703480924.97
00000027, 0, 308, 3144, 1703480926.0
00000028, 0, 776, 3145, 1703480926.89
00000029, 0, 1600, 3596, 1703480927.75
00000030, 0, 4819, 5656, 1703480928.68
00000031, 1, 3298, 5835, 1703480929.3
00000032, 1, 2536, 5835, 1703480929.76
00000033, 1, 2187, 5836, 1703480930.32
00000034, 1, 2470, 5849, 1703480930.92
00000035, 1, 2022, 5854, 1703480931.44
00000036, 1, 2555, 5857, 1703480932.09
00000037, 1, 2187, 5857, 1703480932.59
00000038, 1, 2289, 5857, 1703480933.18
00000039, 1, 2008, 5867, 1703480933.93
00000040, 1, 3151, 6075, 1703480934.52
00000041, 1, 2646, 6204, 1703480935.07
00000042, 1, 2528, 6217, 1703480935.47
